ROI,N57437,N57442,N57446,N57447,N57449,N57451,N57496,N57498,N57500,N57502,N57513,N57515,N57518,N57520,N57522,N57546,N57548,N57550,N57552,N57554,N57559,N57580,N57582,N57584,N57587,N57590,N57692,N57694,N57700,N57702,N57709
79,0.0729,0.08583976,0.06825263,0.07499588,0.07581601,0.06971063,0.06679463,0.07153313,0.0645165,0.07016625,0.07317337,0.07381126,0.07845863,0.07080413,0.08283263,0.071442,0.07463138,0.06679463,0.07590713,0.06879938,0.08902913,0.08902913,0.0739935,0.069255,0.08912025,0.07271775,0.06943725,0.0667035,0.08101013,0.06971063,0.077274
80,1.430207,1.531629,1.485611,1.479414,1.480052,1.476681,1.483971,1.498095,1.469208,1.495544,1.472216,1.417632,1.480872,1.4734,1.501376,1.557509,1.52926,1.381637,1.501649,1.532814,1.624941,1.607354,1.473582,1.523701,1.503654,1.635967,1.432667,1.402323,1.471031,1.45071,1.415354
81,5.522175,5.973062,5.702603,5.520535,5.671985,5.389679,5.684013,5.691212,5.642278,5.597627,5.806394,5.443352,5.559445,5.605464,5.671256,6.012974,5.712444,5.639362,5.651299,5.870546,6.195315,6.200783,5.675174,5.650297,5.780697,6.007234,5.597627,5.488914,5.755182,5.445539,5.664786
82,3.180171,3.209332,3.126955,3.054692,3.123036,3.171059,3.035738,3.260817,3.121669,3.040477,3.181629,3.098706,3.046582,3.083397,3.140714,3.298634,3.167778,3.096336,3.145271,3.283234,3.503939,3.414272,3.204137,3.246328,3.169236,3.461019,3.005849,3.071186,3.144633,3.17926,3.123036
83,0.7602559,0.8460045,0.7914206,0.7635364,0.7747447,0.7721022,0.7801211,0.7738335,0.7844952,0.7829461,0.7752915,0.7418486,0.8155687,0.7835839,0.8144753,0.7700974,0.8078231,0.7874112,0.7829461,0.8203984,0.8209451,0.86022,0.7747447,0.793152,0.7758383,0.8849149,0.7861354,0.7742891,0.7895982,0.7955213,0.7726489
84,0.09586351,0.1057961,0.09504338,0.09358538,0.09941738,0.08975813,0.09741263,0.09012263,0.1003286,0.08538413,0.08866463,0.08893801,0.09449663,0.1019689,0.100602,0.09887063,0.0936765,0.09376763,0.0856575,0.1069808,0.1075275,0.1127216,0.09294751,0.09568125,0.09340313,0.107892,0.08884688,0.08994038,0.089667,0.09677475,0.09085163
85,1.915539,1.981331,2.036553,2.008486,1.958003,1.931759,1.949255,2.0145,1.941054,2.003201,2.00557,1.927112,1.930757,1.935951,2.034275,2.027805,2.03391,1.869885,1.950895,2.066897,2.07683,2.104259,2.011858,2.017781,2.05013,2.154377,1.906153,1.902234,1.972674,1.937773,1.942147
86,0.1282129,0.1445243,0.1448888,0.1517231,0.1398769,0.1432485,0.1548214,0.1424284,0.1499918,0.1430663,0.1444331,0.1369609,0.1486249,0.1371431,0.1475314,0.1365964,0.142884,0.1388745,0.1417905,0.1549125,0.1556415,0.152361,0.1464379,0.15309,0.1457089,0.1559149,0.1551859,0.1352295,0.1478048,0.1477136,0.1463467
87,0.174231,0.1743221,0.1858039,0.1918181,0.162567,0.1776026,0.1913625,0.1724996,0.1787873,0.1782405,0.1858039,0.1877175,0.1918181,0.1834346,0.201204,0.1920915,0.1824322,0.1861684,0.1809743,0.1918181,0.1921826,0.2010218,0.1781494,0.1788784,0.191727,0.217971,0.1878086,0.1831613,0.181521,0.1787873,0.1871708
88,0.258795,0.2895041,0.2817585,0.2780224,0.2671785,0.2695478,0.2731016,0.2814851,0.2689099,0.2730105,0.289413,0.282123,0.2720993,0.2743774,0.2773845,0.289413,0.2925113,0.2691832,0.2767466,0.3095516,0.3202133,0.2919645,0.2687276,0.2859502,0.2769289,0.30618,0.2745596,0.255879,0.2765644,0.2782958,0.2691832
89,4.281326,4.137986,3.781414,3.829164,3.805654,4.054516,3.682999,3.604814,3.4263,3.810119,3.966854,3.306288,4.463029,3.594517,4.577755,3.764647,4.416373,4.179813,4.426853,4.544313,4.532102,4.445442,4.107004,4.035562,3.963118,4.693211,4.090146,3.647825,4.077662,3.906529,4.274492
90,0.1375988,0.1417905,0.1413349,0.1467113,0.1427018,0.1417905,0.149445,0.1475314,0.1508119,0.1444331,0.1491716,0.1381455,0.141426,0.1362319,0.1447976,0.1301265,0.1495361,0.1344094,0.1445243,0.1617469,0.1529989,0.1531811,0.1521787,0.1453444,0.1528166,0.1729553,0.1387834,0.1369609,0.1281217,0.1437953,0.1393301
91,22.3906,23.1093,22.20088,22.44336,22.50286,22.62716,22.48974,22.76913,22.55061,21.83902,22.2438,21.40973,22.18056,21.4757,23.02483,22.59754,22.85096,21.90381,22.36691,23.98665,25.01545,23.60447,22.84905,22.60939,23.29182,23.53057,21.39314,22.35123,22.48482,22.90609,22.71856
92,0.35721,0.3844564,0.3561165,0.3747971,0.3624041,0.3679627,0.3716989,0.3565721,0.3767108,0.3534739,0.377622,0.3464573,0.3546585,0.3497378,0.3778954,0.3744326,0.3726101,0.3431768,0.3560254,0.4055974,0.3852765,0.3808114,0.3824516,0.3700586,0.3536561,0.3968494,0.3542029,0.3443614,0.3587591,0.3626775,0.3699675
93,0.2698211,0.2934225,0.2671785,0.2729194,0.2575192,0.2588861,0.2716436,0.2568814,0.2589773,0.2596151,0.2805739,0.2546033,0.2699123,0.2518695,0.2707324,0.2808473,0.2759265,0.252234,0.271188,0.295974,0.2936959,0.2919645,0.2731016,0.2655382,0.2716436,0.2840366,0.2545121,0.260253,0.2717347,0.2678164,0.2751975
94,0.04692938,0.0528525,0.04747613,0.05020988,0.0477495,0.04938975,0.04875188,0.04538025,0.048843,0.045198,0.05412825,0.04620038,0.04765838,0.04583587,0.04793175,0.05230575,0.0499365,0.044469,0.04838737,0.04856963,0.05494838,0.05567738,0.0477495,0.04802288,0.05230575,0.047385,0.04711163,0.04355775,0.05048325,0.0433755,0.04437787
95,0.5600542,0.5990558,0.5772769,0.5915835,0.5747254,0.5575027,0.5957752,0.594864,0.5879385,0.589761,0.5980534,0.5443808,0.5857515,0.5581406,0.6024274,0.5852959,0.5793728,0.5560448,0.5596898,0.6427957,0.6428869,0.6306762,0.5873918,0.6039765,0.5961398,0.6157317,0.5701692,0.5676177,0.5872095,0.5661597,0.5651573
96,0.1192826,0.1145441,0.1190093,0.1108991,0.1178246,0.1128128,0.1163666,0.1191915,0.1134506,0.101331,0.1130861,0.1184625,0.1112636,0.1150909,0.1134506,0.1120838,0.1184625,0.1097145,0.1132684,0.1178246,0.1267549,0.1250235,0.1150909,0.112266,0.1134506,0.1328603,0.0995085,0.1132684,0.1125394,0.1116281,0.1157288
97,0.1952809,0.199746,0.1930028,0.1977413,0.1891755,0.1904512,0.1849838,0.1899045,0.1850749,0.1878998,0.1891755,0.1765091,0.1906335,0.1781494,0.2044845,0.1862595,0.1944607,0.1823411,0.1836169,0.2038466,0.2091319,0.208494,0.1925471,0.2035733,0.1996549,0.2095875,0.1827968,0.1805186,0.1852571,0.1837991,0.185895
98,0.2658116,0.2880461,0.2833987,0.2841278,0.2718259,0.269001,0.2804828,0.2833987,0.266085,0.2680898,0.2680898,0.2688188,0.283581,0.2641714,0.2893219,0.2710057,0.2760176,0.2538743,0.2686365,0.2973409,0.3034463,0.2897775,0.2881373,0.2782958,0.2884106,0.301806,0.2750153,0.2667229,0.2729194,0.2728283,0.2742863
99,2.617292,2.690192,2.650006,2.669598,2.578291,2.579202,2.63251,2.613101,2.582209,2.57984,2.57656,2.513319,2.57902,2.551682,2.716983,2.640803,2.745232,2.516235,2.604626,2.794439,2.882102,2.792708,2.637795,2.644994,2.749332,2.812847,2.546033,2.479785,2.556056,2.5474,2.544574
100,1.054499,1.095049,1.035636,1.051765,1.043108,0.9955407,1.083567,1.081198,1.074637,1.061151,1.061789,1.051309,1.041285,1.025794,1.07646,1.058235,1.083841,0.9956318,1.026979,1.105802,1.174601,1.102157,1.072906,1.076277,1.041559,1.282402,1.019598,1.040192,1.0319,1.013857,0.992169
101,0.08410838,0.09094276,0.09458775,0.0900315,0.08884688,0.0871155,0.1033358,0.09531675,0.0871155,0.09312975,0.0922185,0.07982551,0.094041,0.08647763,0.09959963,0.08693326,0.08702438,0.09358538,0.08957588,0.1018778,0.09850613,0.09294751,0.09139838,0.09704813,0.090396,0.1075275,0.0914895,0.09021375,0.0900315,0.08620425,0.08830013
102,0.07463138,0.06424313,0.06324075,0.06624788,0.061236,0.07262663,0.07189763,0.05740875,0.0739935,0.0630585,0.06005138,0.06478988,0.061236,0.06943725,0.06205613,0.062694,0.06424313,0.05522175,0.06078038,0.06643013,0.06424313,0.06834375,0.06460763,0.06369638,0.06679463,0.06606562,0.05330813,0.056862,0.06697688,0.06715912,0.06114488
103,0.1361407,0.1573729,0.134865,0.1454355,0.1402414,0.1254791,0.1447065,0.1292153,0.1324958,0.1346828,0.1352295,0.1250235,0.1316756,0.1396946,0.1427018,0.1196471,0.1314934,0.1282129,0.1354118,0.1464379,0.1365964,0.1416083,0.1366875,0.1408793,0.1410615,0.1542746,0.1298531,0.1300354,0.1163666,0.1314934,0.1309466
104,3.195845,3.265465,3.293622,3.244323,3.249518,3.199217,3.292073,3.233571,3.264006,3.237307,3.221542,3.138801,3.219446,3.235484,3.306471,3.344652,3.296356,3.106816,3.267925,3.362877,3.585678,3.549957,3.282596,3.304648,3.372354,3.649556,3.123765,3.111919,3.196392,3.211154,3.14035
105,0.3789889,0.4172614,0.4032281,0.407511,0.3968494,0.4056885,0.4112471,0.4193573,0.4234579,0.4000387,0.429381,0.3682361,0.3993098,0.4001299,0.4096069,0.4094246,0.4237313,0.392931,0.3870079,0.4320236,0.4256449,0.431568,0.4035926,0.4215443,0.4127963,0.4598168,0.403137,0.3925665,0.408969,0.4021346,0.3911996
106,0.3518336,0.3487354,0.345546,0.377622,0.3408986,0.3607639,0.3875546,0.3357956,0.3583035,0.3366158,0.3434501,0.3262275,0.3712433,0.3504668,0.3679627,0.3613106,0.351378,0.346275,0.3566633,0.3817226,0.3571189,0.3744326,0.3839096,0.3981251,0.3475507,0.4022258,0.3472774,0.3660491,0.3379826,0.3454549,0.351378
107,0.8757113,0.8815433,0.9028665,0.8811788,0.8723397,0.8574862,0.9079695,0.8677834,0.8781716,0.8619514,0.8670544,0.8802675,0.866052,0.8432708,0.899586,0.9076961,0.8990393,0.8369831,0.8919315,0.9421414,0.9393165,0.9519829,0.8749823,0.9014996,0.8574862,0.9916223,0.8778071,0.8401725,0.8847327,0.8830924,0.8727953
108,0.01339538,0.0149445,0.01521788,0.01394213,0.01594688,0.01576463,0.01704038,0.0149445,0.016038,0.01521788,0.01467113,0.01485338,0.0142155,0.0156735,0.01649363,0.016038,0.01631138,0.0164025,0.01558238,0.016038,0.0185895,0.01795163,0.01649363,0.0149445,0.01467113,0.01631138,0.018225,0.01476225,0.01631138,0.01585575,0.01767825
109,0.4142542,0.424278,0.4415006,0.4669245,0.4435054,0.4305656,0.384912,0.4237313,0.4522534,0.4210886,0.441045,0.441774,0.4012234,0.4407716,0.4113383,0.4189928,0.4269206,0.4113383,0.3963938,0.402408,0.4778595,0.4034104,0.4491552,0.4032281,0.4032281,0.4325704,0.4139809,0.4052329,0.4136164,0.4136164,0.4209064
110,0.5235131,0.6025185,0.5688022,0.620379,0.5860249,0.5514885,0.6051611,0.5717183,0.5893965,0.5385488,0.5636992,0.5357239,0.5697135,0.5617856,0.6086239,0.5928593,0.5987824,0.550395,0.5575027,0.6148204,0.6078949,0.6099908,0.6176453,0.6129979,0.607986,0.7000223,0.5233309,0.5665241,0.5374553,0.5718094,0.5595986
111,0.4014968,0.4000387,0.374706,0.4129785,0.3829984,0.4023169,0.4181726,0.4190839,0.4051418,0.3877369,0.3737036,0.4024991,0.3940245,0.3877369,0.4238224,0.4178993,0.3847298,0.3830895,0.3988541,0.4186283,0.4507954,0.4282875,0.3888304,0.399492,0.3993098,0.4599079,0.361584,0.3851854,0.3788067,0.3645,0.3699675
112,0.9446018,0.9692055,0.9864281,1.008207,0.9941738,0.9614599,0.9612777,0.9728505,0.9788648,0.9523474,0.9686588,0.9617333,0.9282904,0.9390432,0.9836033,0.9656516,1.012672,0.9613688,0.9661072,1.020053,1.033084,1.016499,0.9641025,0.9472444,0.9888885,1.050762,0.951345,0.9250099,0.9288372,0.9570859,0.946971
113,1.420365,1.486249,1.471942,1.457453,1.438317,1.492081,1.48151,1.421003,1.39804,1.435037,1.438955,1.402049,1.471487,1.447338,1.475405,1.504383,1.527528,1.454628,1.484153,1.612275,1.533725,1.605896,1.493539,1.502833,1.527164,1.735202,1.451895,1.398587,1.428202,1.408792,1.449617
114,2.191921,2.068355,2.11009,2.115922,2.034548,2.055051,2.132689,2.082753,1.958459,2.11492,2.145812,1.741854,2.2486,1.902234,2.233929,1.982789,2.225728,2.131596,2.194108,2.280677,2.205225,2.199393,2.205316,2.130594,2.144718,2.263272,2.096331,1.989806,2.096695,2.047305,2.050677
115,1.328147,1.403052,1.36888,1.356396,1.296344,1.292973,1.370793,1.319217,1.331974,1.317941,1.346828,1.258983,1.337533,1.298714,1.36888,1.335346,1.385647,1.277026,1.299169,1.444605,1.474585,1.464288,1.390932,1.385556,1.349743,1.459276,1.277117,1.261626,1.281035,1.310195,1.323226
116,5.301379,5.531106,5.445175,5.50796,5.221827,5.205789,5.345575,5.39542,5.157675,5.334366,5.448729,4.856051,5.621684,5.192212,5.662963,5.217818,5.601181,5.338467,5.528736,5.609108,5.857697,5.780879,5.486545,5.584414,5.599449,5.757733,5.259371,5.132889,5.086506,5.182279,5.386764
117,0.2875905,0.2751975,0.294516,0.3206689,0.3081848,0.3109185,0.2792981,0.2892308,0.3131966,0.2778401,0.2866793,0.2836721,0.3073646,0.3065445,0.3051776,0.3141079,0.2717347,0.278478,0.2992545,0.3141079,0.2692744,0.2874994,0.2987989,0.3099161,0.2914177,0.3135611,0.3154747,0.2968853,0.2676341,0.2960651,0.3030818
118,0.5654306,0.6448916,0.6155494,0.5848402,0.5911279,0.5975066,0.6089884,0.6162784,0.6058902,0.5657951,0.5658863,0.5742698,0.572265,0.6062546,0.599967,0.6092618,0.6001493,0.5757278,0.5891231,0.5833822,0.6467142,0.6574669,0.596322,0.6129068,0.6156405,0.7250816,0.5501217,0.586116,0.6155494,0.5813775,0.6233861
119,1.106622,1.082201,1.141523,1.045204,1.074546,1.044657,1.105073,1.090402,1.108262,1.050489,1.034451,1.043017,1.035727,1.084388,1.082018,1.104708,1.084934,1.054134,1.102157,1.0627,1.098785,1.22472,1.027252,1.074728,1.128219,1.233286,1.052038,1.041923,1.218068,1.019051,1.087668
120,1.44825,1.483151,1.575187,1.490623,1.360679,1.336439,1.45071,1.47741,1.422188,1.405056,1.434945,1.380999,1.290421,1.383824,1.417723,1.467113,1.504383,1.303908,1.406059,1.446427,1.563796,1.595052,1.492536,1.469937,1.450801,1.637334,1.369426,1.448888,1.439046,1.542291,1.413075
121,6.966051,7.174089,7.073487,7.173178,6.630255,6.814601,6.807858,7.043051,6.949193,6.760564,6.849593,6.435885,6.741063,6.926594,7.035488,7.176367,7.133448,6.561365,6.858523,6.888321,7.676006,7.31023,6.915385,6.903357,7.013983,7.025647,6.498397,6.666432,7.115222,7.016899,6.780247
122,0.2168775,0.2597063,0.2304551,0.2430304,0.2341913,0.2206136,0.2394765,0.246402,0.2384741,0.2409345,0.2392031,0.2174243,0.2197024,0.2219805,0.2331889,0.2556056,0.2417546,0.2323688,0.2444884,0.2467665,0.260982,0.254421,0.2368339,0.2349203,0.2366516,0.28431,0.2342824,0.2239853,0.2532364,0.2182444,0.228177
123,0.5174078,0.427194,0.4934419,0.4733944,0.4653754,0.434484,0.4288343,0.4553517,0.4435965,0.4406805,0.4765837,0.4668334,0.4265561,0.5239688,0.4652843,0.4937153,0.514674,0.4193573,0.4769483,0.4477883,0.468018,0.50301,0.473121,0.4509776,0.4958111,0.41553,0.4343018,0.4555339,0.4754903,0.4792264,0.4880655
124,0.3993098,0.4489729,0.4052329,0.4062352,0.4135253,0.4272851,0.4109738,0.4291076,0.4196306,0.424278,0.4230023,0.3781688,0.4166235,0.4078755,0.4532558,0.4586321,0.4431409,0.3986719,0.410427,0.4175348,0.4603635,0.4604546,0.4218176,0.4397693,0.421362,0.4336639,0.3976695,0.407511,0.4575386,0.433026,0.4087868
125,0.6920944,0.7403907,0.7509611,0.7263574,0.7322805,0.7141467,0.7194319,0.7014803,0.7257195,0.6810682,0.6960128,0.6975619,0.7068567,0.7165159,0.7277243,0.7052164,0.6879938,0.6771499,0.6846222,0.7156047,0.7188851,0.7247171,0.7207077,0.7343764,0.6787902,0.7488652,0.6725025,0.6873559,0.6812505,0.7029383,0.7079502
126,0.06141825,0.04610925,0.06242063,0.06779701,0.05257913,0.06460763,0.0790965,0.07089525,0.06989288,0.06615675,0.06652125,0.0601425,0.04565363,0.04975425,0.05923125,0.06615675,0.07280888,0.05230575,0.07608937,0.06916387,0.05522175,0.06314962,0.07754738,0.08210362,0.07007512,0.06661238,0.06059813,0.06478988,0.05549513,0.07955213,0.06533663
127,2.016414,2.048855,2.043023,2.065166,2.000103,1.927567,2.061157,2.020241,2.035459,1.89786,2.017781,1.920277,1.93021,1.985067,2.101525,2.105716,2.056965,2.03555,1.969394,2.046668,2.152099,2.144263,1.981422,2.027349,2.032179,2.185724,1.870979,1.954996,2.075645,1.922464,1.97313
128,0.0499365,0.0477495,0.046656,0.05494838,0.04866075,0.047385,0.04802288,0.04756725,0.04948088,0.04929863,0.04656488,0.04902525,0.04437787,0.05002763,0.04793175,0.0506655,0.04720275,0.04528913,0.04856963,0.05185013,0.05039212,0.05194125,0.0506655,0.0470205,0.044469,0.05822888,0.05166788,0.04784063,0.04866075,0.04711163,0.04501575
129,0.207765,0.2032999,0.2111366,0.2025709,0.2025709,0.1950075,0.1996549,0.2016596,0.2075828,0.1965566,0.2043934,0.2034821,0.193185,0.2089496,0.2066715,0.2091319,0.2171509,0.2020241,0.2011129,0.2074005,0.2042111,0.2115923,0.2052135,0.2206136,0.2010218,0.230364,0.1983791,0.2029354,0.2043023,0.2136881,0.2049401
130,0.04756725,0.047385,0.05011875,0.05121225,0.04866075,0.05057438,0.05367263,0.04911638,0.05294363,0.04856963,0.04938975,0.045198,0.04984538,0.0513945,0.05020988,0.05194125,0.04929863,0.05002763,0.04793175,0.04948088,0.05677088,0.049572,0.05048325,0.04966313,0.04929863,0.06068925,0.048114,0.04674713,0.04856963,0.049572,0.048114
131,0.04492463,0.04601813,0.04638262,0.046656,0.04137075,0.04802288,0.04547138,0.04137075,0.04456013,0.04164413,0.04319325,0.04401338,0.0433755,0.04565363,0.04793175,0.04428675,0.04674713,0.03991275,0.04501575,0.045927,0.04683825,0.04465125,0.04456013,0.0448335,0.04392225,0.04784063,0.04064175,0.04109738,0.043011,0.04474238,0.04583587
132,0.1519965,0.1260259,0.1335893,0.140697,0.1345916,0.1575551,0.1495361,0.135594,0.1464379,0.1489894,0.1480781,0.1404236,0.1455266,0.1521787,0.13851,0.1446154,0.1525433,0.154548,0.1509941,0.1609268,0.1372343,0.1422461,0.1344094,0.1508119,0.1397858,0.1704037,0.1405148,0.147258,0.1464379,0.15309,0.1420639
133,0.993627,1.094047,1.097145,1.084843,1.030259,1.052767,1.084843,1.04411,1.060695,1.016682,1.060148,0.9968164,1.000279,1.043837,1.08138,1.074182,1.126123,1.065342,1.046024,1.033813,1.16476,1.15346,1.072359,1.064067,1.088579,1.207315,0.9970898,1.011396,1.006111,1.03518,1.00602
134,0.4579943,0.4261005,0.45198,0.4692938,0.4538025,0.4455101,0.4642819,0.4589055,0.4386758,0.430839,0.4528001,0.4735766,0.4329349,0.453438,0.4705695,0.4374,0.4539848,0.4350308,0.4402249,0.4516155,0.4739411,0.4558984,0.46656,0.46656,0.434484,0.4659221,0.4156211,0.449064,0.3983074,0.4486084,0.4345751
135,1.40451,1.435948,1.501831,1.469208,1.440686,1.39485,1.505112,1.446427,1.42802,1.382184,1.41827,1.374621,1.40214,1.40697,1.42401,1.470484,1.517687,1.415536,1.422188,1.472489,1.584937,1.482513,1.436768,1.420821,1.475405,1.498642,1.364506,1.351202,1.355393,1.350746,1.345096
136,0.5135805,0.5352682,0.5160409,0.5565915,0.5108468,0.5076574,0.5279782,0.5337191,0.5185013,0.5240599,0.5172255,0.4981804,0.5064728,0.5043769,0.5419204,0.528525,0.540918,0.5068372,0.5115758,0.5472056,0.571536,0.5516708,0.5288895,0.5442896,0.5349038,0.571536,0.4937153,0.4985449,0.5195948,0.5040124,0.4996384
137,0.09750375,0.1024245,0.1070719,0.09969075,0.09759488,0.1016044,0.1016955,0.09458775,0.1063429,0.08984926,0.1009665,0.09713925,0.09795938,0.0987795,0.1080743,0.09322087,0.09896176,0.09240075,0.0980505,0.101331,0.1070719,0.1054316,0.09905288,0.1028801,0.1032446,0.1025156,0.09668363,0.09467888,0.0914895,0.0914895,0.09668363
138,0.06287625,0.0674325,0.06788813,0.07198875,0.074358,0.06843488,0.07262663,0.0623295,0.07207987,0.06242063,0.0667035,0.06943725,0.07089525,0.06697688,0.06989288,0.07043963,0.07007512,0.06378751,0.072171,0.07098638,0.06752363,0.0674325,0.07189763,0.06788813,0.068526,0.082377,0.0623295,0.06406087,0.06916387,0.06324075,0.059049
139,0.06788813,0.1018778,0.07663613,0.09312975,0.08520187,0.08219475,0.08830013,0.08611313,0.09294751,0.08155688,0.07718287,0.07408462,0.0914895,0.0776385,0.08766225,0.08429063,0.08292376,0.08848238,0.07353788,0.07982551,0.07344675,0.08775338,0.08902913,0.1026979,0.08511075,0.08921137,0.07408462,0.07854975,0.08665988,0.08574863,0.08438175
140,1.539466,1.690733,1.525341,1.540833,1.48716,1.445243,1.385373,1.43695,1.333159,1.4734,1.489712,1.339446,1.530262,1.376261,1.634054,1.454264,1.603253,1.434125,1.539921,1.584573,1.746046,1.67916,1.543384,1.593958,1.58275,1.810198,1.523154,1.358127,1.453991,1.476043,1.473765
141,0.9071494,0.8902001,0.6857156,0.7108662,0.7009335,0.8489205,0.6707711,0.5989646,0.5224196,0.6937346,0.7234414,0.4577209,0.9282904,0.5916746,0.844911,0.7401173,0.8688769,0.8780805,1.006384,0.8483738,1.03117,0.9084252,0.7741069,0.7786632,0.7145112,1.081836,0.8372566,0.6700422,0.7897804,0.7248994,0.9157152
142,0.2330066,0.2219805,0.2424836,0.2395676,0.2422103,0.2429393,0.2601619,0.241299,0.2562435,0.237654,0.239841,0.2202491,0.2433038,0.2359226,0.2433038,0.2621666,0.259524,0.2474044,0.2501381,0.2623489,0.2594329,0.259524,0.2497736,0.2572459,0.2453085,0.2800271,0.2399321,0.236196,0.2283593,0.2400233,0.2583394
143,0.4469681,0.4815956,0.4827803,0.4932596,0.4700228,0.4540759,0.4990005,0.4622771,0.4718453,0.4496108,0.4653754,0.4641908,0.4759459,0.459999,0.5041035,0.4733033,0.4612748,0.4404983,0.4424119,0.482598,0.5233309,0.4977248,0.4973603,0.4905259,0.4718453,0.529983,0.4568096,0.4654665,0.4661044,0.4730299,0.4571742
144,0.804816,0.8101013,0.8216742,0.8853706,0.8184848,0.8254102,0.8685124,0.8111948,0.8142019,0.7820348,0.8422684,0.8138374,0.7914206,0.8059095,0.847827,0.8123794,0.8583064,0.7765673,0.7947923,0.8080054,0.8892889,0.8342494,0.817209,0.8452755,0.7864999,0.9754021,0.7050341,0.7726489,0.7177005,0.7958858,0.7203432
145,0.443232,0.4856052,0.4600901,0.4775862,0.4520711,0.4465125,0.4845116,0.4619126,0.489159,0.4695671,0.4798643,0.4465125,0.4703873,0.4589055,0.4946265,0.4928951,0.4828714,0.453438,0.4848761,0.5068372,0.5346304,0.5193214,0.4808666,0.486972,0.4904348,0.524151,0.4524356,0.4575386,0.4473327,0.4557161,0.4596345
146,0.4609103,0.5174989,0.5004585,0.5045592,0.460728,0.4805933,0.4788619,0.4590878,0.4863341,0.4611836,0.4781329,0.4553517,0.460728,0.4712985,0.4705695,0.4445078,0.4845116,0.4693849,0.4717541,0.4844205,0.5043769,0.4610014,0.5154942,0.498636,0.485514,0.4610014,0.4374,0.4788619,0.4572653,0.4754903,0.462186
147,5.538395,6.526281,5.82225,6.001401,5.977527,5.846216,6.136449,6.012792,6.120593,5.86116,6.112938,5.475246,6.04423,5.492651,6.215727,5.980169,6.027737,5.595348,5.802931,6.540133,6.393239,6.256369,6.357062,6.37547,6.079951,7.134085,5.868268,5.846671,6.203881,5.86198,6.007598
148,3.1614,1.386923,3.175433,2.760267,1.666859,2.559246,2.77503,2.721995,2.06143,2.476686,2.246687,2.432035,1.725725,1.922829,1.762722,1.866696,2.953726,1.680983,1.969302,2.1562,2.343735,2.48671,3.445436,2.411532,2.623307,1.225176,2.762363,2.582574,2.274845,3.677167,2.546033
149,0.214326,0.2421191,0.2360138,0.2175154,0.2094964,0.2022064,0.2074005,0.1876264,0.1986525,0.1992904,0.2093141,0.201933,0.2073094,0.2160574,0.2166041,0.2050313,0.2051224,0.2015685,0.2103165,0.2084029,0.2724638,0.2486801,0.1974679,0.1978324,0.2269013,0.2175154,0.2094053,0.1970123,0.217971,0.1913625,0.2262634
150,0.0287955,0.0251505,0.026973,0.03116475,0.03034463,0.02852213,0.0317115,0.030618,0.02797538,0.023328,0.02852213,0.024057,0.02888663,0.02925113,0.02979788,0.03162038,0.02906888,0.02578838,0.02651738,0.03225825,0.02679075,0.0302535,0.030618,0.03125587,0.02943338,0.03089138,0.02934225,0.02679075,0.02861325,0.03034463,0.02833988
151,0.314928,0.3610373,0.3000746,0.3299636,0.3326974,0.3606728,0.2943338,0.3509224,0.3121031,0.3313305,0.3449081,0.3132878,0.3390761,0.3278677,0.347004,0.3721545,0.3633154,0.3188464,0.3310571,0.3611284,0.381996,0.3763463,0.3321506,0.355752,0.3660491,0.358668,0.3278677,0.303264,0.3545674,0.3246784,0.3339731
152,0.6640279,0.395847,0.6449828,0.6294004,0.6482633,0.6700422,0.6171896,0.6040676,0.6073481,0.6186476,0.6005138,0.6860802,0.5769124,0.6570113,0.7490475,0.6427957,0.5899433,0.5748165,0.618192,0.6702244,0.4217265,0.5588697,0.6436159,0.6042499,0.5288895,0.3549319,0.6846222,0.6527284,0.4071465,0.6047055,0.5848402
153,0.4667423,0.5176811,0.5068372,0.5071107,0.4998206,0.4576298,0.4830536,0.501552,0.4886123,0.500094,0.4737589,0.4722098,0.4866986,0.4924395,0.4947176,0.5145829,0.5097533,0.4826891,0.511029,0.5230575,0.5893054,0.5500305,0.4850584,0.4860608,0.5281605,0.5644283,0.4752169,0.4895235,0.4954467,0.487701,0.4912549
154,0.07390238,0.07089525,0.08210362,0.06542775,0.07900538,0.08019,0.07581601,0.0776385,0.06934613,0.06132713,0.07809412,0.070713,0.08219475,0.08356163,0.08447288,0.08337938,0.07645388,0.07681838,0.07700063,0.0725355,0.08119237,0.08064563,0.08192138,0.08082788,0.08037225,0.08720662,0.07125975,0.06834375,0.06989288,0.07335563,0.07463138
155,0.08574863,0.1143619,0.0936765,0.09941738,0.08784451,0.08802675,0.09358538,0.0951345,0.09385876,0.08902913,0.09859725,0.08183026,0.08848238,0.09185401,0.093312,0.09504338,0.1054316,0.07171538,0.09294751,0.09467888,0.1009665,0.1040648,0.09686588,0.1024245,0.1044293,0.1065251,0.08101013,0.08748,0.096228,0.07782076,0.09850613
156,0.1278484,0.1711328,0.1262081,0.1365053,0.1410615,0.1513586,0.142884,0.1396035,0.1485338,0.1425195,0.1243856,0.1356851,0.139239,0.1394213,0.1456178,0.1594688,0.130491,0.1283951,0.1486249,0.1490805,0.165483,0.162567,0.1314023,0.1532723,0.1375076,0.1496273,0.1300354,0.1415171,0.1257525,0.1276661,0.1481692
