ROI,N57437,N57442,N57446,N57447,N57449,N57451,N57496,N57498,N57500,N57502,N57513,N57515,N57518,N57520,N57522,N57546,N57548,N57550,N57552,N57554,N57559,N57580,N57582,N57584,N57587,N57590,N57692,N57694,N57700,N57702,N57709
74,0.2264735,0.1962284,0.218612,0.2353351,0.2204887,0.2270404,0.2272289,0.2091343,0.2304991,0.22687,0.2093209,0.2137798,0.2164378,0.2079432,0.2124769,0.2178882,0.2119762,0.1991382,0.2027523,0.2085751,0.1905095,0.1940757,0.2175893,0.2265219,0.1867021,0.1412194,0.2055324,0.2253171,0.196212,0.2241485,0.2158423
75,0.2560942,0.2196332,0.2640078,0.2674536,0.2645883,0.2793795,0.2745599,0.2423576,0.2643704,0.2756582,0.2655599,0.2489605,0.2530985,0.2655363,0.2504885,0.2895271,0.2664605,0.2668195,0.246487,0.2371717,0.243929,0.2288134,0.2411711,0.2607746,0.2377188,0.19706,0.236976,0.2584686,0.2357965,0.2565326,0.2548618
76,0.3195363,0.2990896,0.3290401,0.3213055,0.34047,0.3201147,0.3316962,0.3227642,0.3288477,0.3211907,0.3303078,0.330843,0.3096768,0.3104983,0.3193847,0.3305344,0.3242866,0.306128,0.30845,0.3211004,0.3093197,0.2982276,0.319198,0.3119642,0.2903967,0.2813925,0.3131089,0.3223783,0.3152305,0.3358012,0.3099543
77,0.3436283,0.3172621,0.348212,0.3457483,0.333242,0.3391133,0.3482426,0.3461619,0.3525014,0.33926,0.3424503,0.3340849,0.3372117,0.3498373,0.3233153,0.3392835,0.3333124,0.3230131,0.3381786,0.3220147,0.329486,0.3204972,0.3392489,0.3445391,0.3205476,0.2807254,0.3245938,0.3474587,0.3230094,0.3429646,0.3372386
78,0.3747427,0.3468202,0.3757201,0.3648133,0.3741737,0.3674627,0.3730468,0.385514,0.3740686,0.3758295,0.3731381,0.3668046,0.3602276,0.3755266,0.3551535,0.3707276,0.3715914,0.3654739,0.3641357,0.358994,0.3754982,0.3726555,0.3724493,0.3633236,0.3622997,0.3225581,0.3671366,0.3831719,0.3865683,0.3761957,0.3676485
79,0.2708353,0.2421718,0.2944616,0.2738965,0.2747082,0.2810284,0.2971109,0.2719585,0.2905901,0.2928833,0.2914475,0.2821453,0.2742625,0.2955535,0.2630098,0.2760778,0.2782779,0.2749031,0.2694209,0.2497513,0.2514005,0.247118,0.2442674,0.2571998,0.2525154,0.2143384,0.2491236,0.2941527,0.2342321,0.295024,0.28179
80,0.2884992,0.2730128,0.2946997,0.2850747,0.2850076,0.2842596,0.2856737,0.2893389,0.2885814,0.281683,0.2870203,0.2815904,0.2774003,0.2810048,0.2822029,0.2999963,0.2778217,0.2724539,0.28561,0.2693742,0.2838332,0.2843204,0.2723133,0.2854467,0.2723905,0.2339323,0.2765165,0.2904971,0.2901538,0.2934938,0.2780924
81,0.2368516,0.2184028,0.2391639,0.2348508,0.2255398,0.2471618,0.249807,0.2518032,0.236303,0.2368207,0.23419,0.2347672,0.2326795,0.2217208,0.2223259,0.2537809,0.2342018,0.2355406,0.2430824,0.2319524,0.2275004,0.245012,0.2531114,0.2690273,0.2359228,0.2196658,0.2623261,0.2430842,0.2422992,0.2469803,0.2416695
82,0.270903,0.2505289,0.2578719,0.2543161,0.2547012,0.2669059,0.2567932,0.2838482,0.2588149,0.2622234,0.2548479,0.2617844,0.2643381,0.2464857,0.2430446,0.2720014,0.2630477,0.2755736,0.2758932,0.2470129,0.260626,0.2873267,0.2689226,0.2652169,0.2768069,0.2435948,0.2937281,0.2610634,0.3001426,0.2696352,0.2607063
83,0.340464,0.3468922,0.3578125,0.3645381,0.3479981,0.3618826,0.3724575,0.3443292,0.3763386,0.3696559,0.3646082,0.3413571,0.3621055,0.3540221,0.3493243,0.3561879,0.3488853,0.3490609,0.3418758,0.3101636,0.3610693,0.3489235,0.344384,0.3634056,0.3367749,0.2896139,0.3379058,0.3728907,0.334843,0.3714328,0.3659828
84,0.3052583,0.2932941,0.3186621,0.3123519,0.3071369,0.2922267,0.3014128,0.3034856,0.2928059,0.3045278,0.3042138,0.2935515,0.2895819,0.3164338,0.3023479,0.3083137,0.2884974,0.2847008,0.2960025,0.2857079,0.281807,0.2973707,0.2821642,0.287012,0.2893789,0.2471478,0.2984797,0.3184853,0.2872458,0.3063373,0.3002801
85,0.3291699,0.2945367,0.3369524,0.3290176,0.3207302,0.3319735,0.3307995,0.3376592,0.3366227,0.3308176,0.3320653,0.3236443,0.3171725,0.3271607,0.316371,0.3431642,0.3213474,0.3205708,0.3311865,0.3127599,0.3144877,0.3285615,0.3256622,0.3296008,0.317315,0.2559586,0.3325407,0.3364452,0.3267869,0.3305573,0.3068516
86,0.3530278,0.3428131,0.3534714,0.3614042,0.351461,0.3623511,0.367292,0.363343,0.3499127,0.3476759,0.345852,0.354421,0.3466894,0.3405248,0.3431627,0.3792578,0.3616586,0.3436503,0.3628986,0.3452744,0.3534317,0.3598146,0.3430112,0.3561069,0.3474447,0.2760139,0.3661769,0.3730809,0.368192,0.3719627,0.3492625
87,0.3188741,0.2886795,0.3089754,0.309371,0.3164088,0.3119377,0.2954202,0.3233687,0.3068371,0.2960083,0.3130544,0.3029062,0.3008202,0.2999902,0.2974012,0.3324072,0.3208379,0.3061858,0.3228366,0.2931056,0.2888113,0.331542,0.3045208,0.3014143,0.3122589,0.2393713,0.3262962,0.3005838,0.3565364,0.2974554,0.2861044
88,0.2750396,0.2513753,0.2883125,0.2750127,0.2785151,0.2854698,0.2701846,0.3008633,0.2793948,0.2801409,0.2849324,0.2789076,0.2651418,0.2709538,0.2740567,0.3002014,0.2924763,0.2836213,0.2980875,0.2649521,0.2653686,0.2990415,0.297751,0.2994345,0.286799,0.2429612,0.2946193,0.2757423,0.3276284,0.2814595,0.2787149
89,0.3472835,0.3394721,0.3547193,0.3637743,0.3574861,0.3488131,0.3700109,0.3624999,0.3530141,0.3658875,0.3608821,0.3340328,0.3392688,0.3319699,0.3529814,0.3553636,0.3426168,0.3525033,0.3464385,0.3480987,0.3469043,0.3495823,0.3586666,0.3526712,0.3434407,0.2951024,0.3723951,0.3462841,0.3646114,0.3466153,0.3458034
90,0.2513981,0.2649714,0.2682779,0.2542266,0.2287402,0.2674186,0.25705,0.2520992,0.2344348,0.252419,0.2462842,0.2373994,0.2503515,0.2577173,0.2392098,0.2680316,0.2452469,0.2555219,0.2489418,0.2431828,0.2690782,0.240569,0.2397619,0.2369559,0.2311041,0.1755057,0.2744499,0.2573813,0.260388,0.2449345,0.2628313
91,0.2731356,0.2542076,0.2672536,0.2672741,0.2609223,0.2656015,0.2798189,0.2708032,0.28065,0.2767695,0.26447,0.2609245,0.2600824,0.2610304,0.2479454,0.2700233,0.2661479,0.2601095,0.2713881,0.2501382,0.2598009,0.2679396,0.2683128,0.2527098,0.2592958,0.2529821,0.2804139,0.277616,0.2783479,0.2701412,0.2699549
92,0.3648827,0.3747644,0.3760375,0.3729483,0.3831625,0.3646643,0.3674828,0.3851234,0.3728609,0.3616965,0.3830702,0.3815512,0.3676759,0.3611822,0.3671791,0.379057,0.366926,0.3578491,0.361103,0.3578283,0.3630272,0.3770314,0.3813011,0.361315,0.3559486,0.3587389,0.363085,0.3806035,0.3553466,0.3809282,0.3561788
93,0.307047,0.2796675,0.30606,0.2871251,0.2932642,0.3063925,0.2932254,0.3102224,0.2947651,0.2992229,0.2893852,0.3122172,0.2893929,0.2929063,0.2962788,0.3188138,0.2878173,0.2921771,0.307141,0.2847994,0.2818104,0.3020361,0.3099127,0.2954019,0.2933117,0.2346408,0.3000952,0.3069568,0.3054742,0.3083242,0.2782206
94,0.2878311,0.2905342,0.3389638,0.306955,0.3161296,0.2974931,0.3175377,0.3107807,0.3112894,0.2950397,0.3113711,0.3269353,0.275866,0.2966921,0.298373,0.3339013,0.3079925,0.2938697,0.3004145,0.2899622,0.3011261,0.3167605,0.3234434,0.3086698,0.3074823,0.2650217,0.307859,0.3108958,0.3459328,0.3113964,0.2984847
95,0.351639,0.343887,0.3682016,0.3599038,0.3535371,0.3550335,0.3619296,0.3512734,0.3657732,0.3475038,0.3600145,0.3591434,0.3407841,0.3551204,0.3593355,0.3750387,0.3554554,0.3360076,0.342711,0.3419222,0.3534059,0.3369563,0.3498294,0.3361907,0.3436001,0.3128292,0.3510972,0.3694194,0.357254,0.349455,0.3346394
96,0.3298852,0.3191884,0.31971,0.3340812,0.3252987,0.3209285,0.3685127,0.3828777,0.3449825,0.3278517,0.3350219,0.3235234,0.3175852,0.3370218,0.3002698,0.349463,0.3169252,0.3466297,0.3260883,0.3330632,0.3479804,0.3556843,0.3290381,0.348087,0.3303398,0.2771309,0.3486256,0.3532287,0.3759665,0.3407708,0.3149147
97,0.2826845,0.2574124,0.2971014,0.2977261,0.2890789,0.2813898,0.2964292,0.2826571,0.2953286,0.2856927,0.2942495,0.2701269,0.274904,0.2887311,0.2876862,0.3110693,0.2935109,0.2620882,0.2815193,0.2717936,0.2507135,0.2729026,0.2648687,0.2648426,0.2565984,0.2079584,0.2657311,0.291173,0.2738235,0.2744917,0.260179
98,0.3133307,0.2958426,0.3189696,0.3180609,0.3191604,0.3054492,0.3222506,0.3068027,0.3250268,0.3076687,0.3159752,0.3001338,0.3138546,0.3049346,0.3039075,0.3508838,0.3274271,0.3032679,0.3201639,0.3088284,0.3048233,0.3247876,0.318034,0.3044973,0.2948741,0.2575511,0.323437,0.3199013,0.3431795,0.2991889,0.3063322
99,0.2417245,0.2340445,0.2484379,0.2504572,0.2455501,0.243153,0.2667246,0.252731,0.2512494,0.2612202,0.2543718,0.2393893,0.2391591,0.2459294,0.2439575,0.2559325,0.2458248,0.2402472,0.2368236,0.2352075,0.2600465,0.2426511,0.2466894,0.2419732,0.2385724,0.2287591,0.2384551,0.2575563,0.2679844,0.2490135,0.243318
100,0.2559473,0.2412948,0.2560985,0.2484007,0.2492596,0.2404447,0.2547981,0.2546251,0.2476138,0.2494821,0.2499427,0.2438762,0.2416592,0.2399787,0.2424129,0.2710775,0.2555698,0.2411953,0.2452529,0.2413512,0.239424,0.2453246,0.2579738,0.2312219,0.2464732,0.2003473,0.2630647,0.2483485,0.2526396,0.2470045,0.2506402
101,0.298518,0.26798,0.3135975,0.3003889,0.3033908,0.2873501,0.2906265,0.2986674,0.3104376,0.291435,0.2834422,0.2858997,0.302563,0.3075615,0.2937114,0.3453173,0.2890135,0.2856499,0.3019187,0.2931963,0.2735218,0.3064126,0.2801996,0.2840697,0.2839023,0.2085853,0.291069,0.3091954,0.3033552,0.2828661,0.2668269
102,0.426338,0.3910353,0.4477225,0.4026378,0.4371923,0.4322977,0.4225512,0.4418815,0.3924638,0.4276358,0.4250904,0.4366769,0.3937169,0.4347289,0.4275271,0.4584844,0.4232967,0.4317277,0.423537,0.3998002,0.4273704,0.4022774,0.4116642,0.4223131,0.3824509,0.4207524,0.4242375,0.4160928,0.4715652,0.4363422,0.4316676
103,0.2279215,0.2276243,0.2349226,0.2245554,0.224146,0.2308535,0.2404631,0.2412565,0.2197783,0.2408216,0.2359122,0.2377648,0.2285585,0.2328884,0.2343222,0.2723861,0.2319461,0.2404895,0.2460473,0.2392054,0.2523713,0.2484872,0.2364922,0.2282079,0.2211958,0.2321985,0.2593817,0.247507,0.2708032,0.233428,0.249057
104,0.2968774,0.2831804,0.3078036,0.2883002,0.2968981,0.278712,0.301483,0.3053314,0.2905826,0.2972851,0.2963606,0.2935489,0.2832599,0.3002537,0.2807248,0.2982389,0.2802205,0.2797878,0.2898585,0.2759193,0.2951888,0.2907089,0.2886853,0.2829384,0.2868854,0.237748,0.2885327,0.2923465,0.2999204,0.2935873,0.2767688
105,0.4208135,0.422475,0.4451554,0.426114,0.4298071,0.4126985,0.4360321,0.428235,0.4131212,0.435291,0.4265279,0.4275789,0.4098772,0.4280914,0.4106007,0.4376935,0.4281696,0.403134,0.4207577,0.3964009,0.4384332,0.4220195,0.4088892,0.4008257,0.4020999,0.3421439,0.4015245,0.4421105,0.4042054,0.4270933,0.4084146
106,0.3279823,0.3025953,0.3379183,0.321631,0.3251638,0.3218618,0.3449007,0.3435246,0.3297299,0.3218133,0.3304508,0.3220832,0.326341,0.3286594,0.3194162,0.3528582,0.3349048,0.3428633,0.3364258,0.3257592,0.341817,0.3437955,0.3363473,0.3422155,0.3209344,0.2902583,0.3423077,0.3402463,0.3678969,0.325663,0.3488236
107,0.221891,0.2099586,0.2269332,0.2241391,0.2253781,0.216186,0.230801,0.2162275,0.2235367,0.2266867,0.2223073,0.2188474,0.2152599,0.2250488,0.2223351,0.2341474,0.2192583,0.2027081,0.2154292,0.2021581,0.2094982,0.2091849,0.2106883,0.2006242,0.2031031,0.1794019,0.2090622,0.2229899,0.226488,0.2248471,0.2014118
108,0.3470255,0.2903316,0.3512056,0.3600495,0.3455026,0.3499923,0.3538046,0.3090907,0.3503438,0.3403744,0.3409739,0.3337071,0.3222889,0.3481109,0.3615698,0.3430592,0.3201324,0.2894445,0.3222449,0.2915496,0.2599868,0.244349,0.2978391,0.2795239,0.2638578,0.2450843,0.2723824,0.3459555,0.2552474,0.3239505,0.2933249
109,0.3849442,0.3738793,0.3742053,0.370496,0.3608513,0.3914178,0.3839407,0.370779,0.3981628,0.3985402,0.3839341,0.3565991,0.354756,0.380255,0.3771351,0.4121692,0.3744308,0.4015729,0.4008522,0.3716514,0.3772981,0.4042823,0.3866951,0.39205,0.3791396,0.3778827,0.3867776,0.3992501,0.3960778,0.3885374,0.4040151
110,0.442571,0.4345861,0.4490797,0.4387847,0.4297537,0.4313515,0.4633279,0.4596289,0.4297411,0.4456731,0.4347333,0.4306528,0.4320739,0.4111012,0.4198679,0.4192842,0.4249736,0.4233671,0.4294531,0.4307603,0.430846,0.4195413,0.4502052,0.4170367,0.4236824,0.329517,0.4581434,0.4405516,0.4323557,0.4299449,0.4525198
111,0.3677142,0.3407029,0.3670643,0.355053,0.3600881,0.3378358,0.3625667,0.3663554,0.3401635,0.3365582,0.356759,0.3634497,0.3435896,0.3493827,0.3549566,0.333554,0.3469794,0.3450656,0.34903,0.3443832,0.3728627,0.3323094,0.3684192,0.3509087,0.3495137,0.2959581,0.3411097,0.3702103,0.3234022,0.3523093,0.3735765
112,0.2390669,0.2306205,0.2563266,0.2568361,0.2540964,0.2320993,0.2618495,0.2381419,0.2490681,0.2688245,0.2629501,0.2446646,0.2278478,0.2389542,0.2427397,0.2434239,0.2464509,0.2324021,0.238263,0.2334593,0.2528228,0.2304064,0.2508451,0.2451406,0.2359926,0.2291867,0.2341617,0.2411674,0.2466525,0.2436611,0.241073
113,0.2020843,0.1975994,0.2092627,0.2067038,0.2086172,0.1971135,0.2058448,0.2098421,0.1991685,0.202695,0.2136061,0.2067313,0.191539,0.1966975,0.1939965,0.2152575,0.2127105,0.2141992,0.2137568,0.209364,0.2032098,0.2043869,0.225439,0.2028639,0.1992748,0.2038435,0.2259806,0.2120054,0.2260573,0.1956887,0.234129
114,0.2846588,0.2789015,0.3097917,0.3067283,0.2729723,0.2846515,0.3122836,0.3155559,0.2970247,0.3355736,0.3087795,0.25984,0.2680275,0.2600495,0.3236679,0.3151769,0.292296,0.2949536,0.282678,0.3127201,0.259339,0.2925889,0.3042015,0.2971315,0.3063357,0.2627932,0.3255604,0.3006599,0.348956,0.2820306,0.277663
115,0.3414389,0.3213485,0.3452042,0.3343587,0.3421015,0.3291436,0.3420057,0.3418624,0.3397542,0.3371408,0.3366487,0.3227733,0.3323108,0.3306214,0.3334288,0.368459,0.3275624,0.3275596,0.327355,0.319126,0.3235067,0.3317857,0.3389527,0.3155397,0.3321094,0.2958283,0.3411598,0.3499804,0.3547495,0.3276512,0.3295862
116,0.2573841,0.2507067,0.264399,0.2746155,0.2612336,0.2504292,0.2750016,0.2697487,0.2511795,0.2872611,0.2719169,0.2373618,0.2426073,0.2354271,0.2684962,0.2783669,0.2729316,0.260756,0.2563307,0.2719925,0.2429709,0.2599458,0.282629,0.2630702,0.2564799,0.240498,0.2659563,0.266767,0.2978461,0.2555039,0.2713657
117,0.330895,0.323336,0.3324259,0.3020487,0.3260599,0.3175777,0.3322457,0.3599285,0.3360277,0.3425278,0.3282431,0.3159378,0.3024842,0.3203322,0.3247046,0.3296233,0.3155471,0.3094068,0.3220957,0.3381427,0.3073364,0.3241216,0.3248112,0.2920804,0.356501,0.3013953,0.331055,0.3216965,0.3688645,0.3262516,0.337046
118,0.6155843,0.5528067,0.6204781,0.6129588,0.60377,0.6057858,0.6140407,0.6108586,0.6074653,0.6155803,0.6135413,0.6006637,0.5926948,0.6081998,0.6026551,0.6085395,0.6181936,0.5982426,0.5897664,0.6091934,0.5905388,0.5814205,0.5996788,0.6093768,0.6030063,0.5091145,0.5962257,0.6074094,0.5835794,0.6083783,0.6020684
119,0.6877728,0.6790398,0.7037311,0.685377,0.7055764,0.6788183,0.6942145,0.6952895,0.6675321,0.6847245,0.6896315,0.6889775,0.6833339,0.6956394,0.6667635,0.6669086,0.681882,0.6824844,0.6814321,0.6635987,0.6823713,0.6770815,0.6764286,0.6697751,0.691756,0.5764468,0.6806488,0.6817674,0.6840044,0.6814606,0.6875033
120,0.6546924,0.6456364,0.6495597,0.671822,0.6681526,0.6796754,0.6936334,0.6723034,0.6927057,0.6801405,0.6825387,0.6721625,0.6881063,0.6419467,0.6765602,0.6673073,0.6408601,0.651564,0.6547393,0.6671945,0.6637157,0.6471886,0.6615594,0.6820676,0.6468233,0.6032697,0.6709687,0.6822469,0.6510864,0.6397479,0.6638262
121,0.5083022,0.4357466,0.5025663,0.5120273,0.4932777,0.5058774,0.5278876,0.5092108,0.5215337,0.518651,0.5232148,0.4902076,0.4989806,0.4927159,0.4845164,0.5034628,0.497053,0.4943758,0.4923231,0.4895556,0.4776379,0.4829249,0.5130813,0.5143787,0.4952418,0.4440099,0.50158,0.511989,0.4713555,0.513469,0.4916408
122,0.5260378,0.4843365,0.5446261,0.5084177,0.530295,0.5530386,0.571126,0.5647483,0.541582,0.5448929,0.5436513,0.5583115,0.521728,0.5448613,0.5208216,0.5292568,0.5397747,0.5294548,0.5312734,0.5321785,0.5439074,0.533576,0.5154623,0.5387087,0.5333355,0.4547667,0.5447854,0.5446122,0.5902598,0.5424392,0.5409975
123,0.7174103,0.6510647,0.7071139,0.7096409,0.7096085,0.7374371,0.7268803,0.7176444,0.734952,0.7246306,0.7243802,0.7326077,0.7228916,0.7132595,0.7029163,0.7099339,0.7090489,0.7277728,0.7150978,0.7099556,0.6957279,0.6848221,0.7167442,0.7284488,0.6879395,0.6409801,0.7179414,0.7289524,0.7065898,0.7076643,0.7153757
124,0.4678096,0.4449756,0.5049267,0.4851839,0.4975701,0.4700552,0.5004086,0.4865186,0.4924559,0.4901345,0.489961,0.4885149,0.4570202,0.4785604,0.4829002,0.4989192,0.5012261,0.447092,0.4400587,0.4581543,0.4747103,0.4792442,0.4697553,0.4627937,0.4605779,0.474364,0.458786,0.4787518,0.4498613,0.4903329,0.4750887
125,0.5469574,0.5387135,0.5610371,0.5541688,0.5392314,0.5308771,0.5406291,0.5523952,0.5267085,0.534785,0.5649935,0.4824353,0.5115857,0.5280759,0.4805206,0.4938799,0.5455794,0.4993455,0.4984241,0.5214859,0.5436531,0.5530587,0.5363241,0.551047,0.5294718,0.4768463,0.524819,0.5155103,0.5278488,0.5387369,0.5332222
126,0.6664658,0.5636284,0.6113204,0.6451759,0.6097587,0.672855,0.6603178,0.628338,0.6209302,0.6360724,0.6229655,0.6382794,0.6402746,0.6049831,0.6215641,0.6246059,0.64744,0.6407446,0.6437329,0.6160911,0.5486676,0.5979258,0.6535006,0.65492,0.6305776,0.5094878,0.6069331,0.657971,0.5904002,0.6507426,0.6521805
127,0.6214815,0.578055,0.6205291,0.6105876,0.6283171,0.6037295,0.6304964,0.6431719,0.6177676,0.6314558,0.619648,0.6182524,0.5967251,0.6233133,0.5913413,0.6201813,0.6243345,0.6175795,0.6151381,0.6022097,0.6272241,0.6153374,0.6189989,0.6082379,0.6205681,0.5672789,0.6278273,0.6252673,0.6419331,0.6211025,0.6041641
128,0.5074506,0.4317471,0.4816012,0.4982114,0.4969926,0.4866989,0.4949527,0.4810109,0.4804271,0.4743012,0.4934407,0.5001565,0.4520904,0.5248045,0.4942856,0.5022215,0.5298672,0.4656578,0.5064933,0.4720688,0.4758819,0.4687501,0.4758598,0.4719254,0.4586137,0.3672544,0.4574207,0.5054989,0.4899837,0.4640267,0.4739387
129,0.5703216,0.5548108,0.5584779,0.5673037,0.5576358,0.5858617,0.5759076,0.5752076,0.5843816,0.5645135,0.5616691,0.5653418,0.5705472,0.5498009,0.5731516,0.5749368,0.559954,0.5484285,0.5520126,0.5804797,0.5781125,0.5830597,0.589861,0.5751634,0.5686588,0.4863371,0.5748197,0.5688317,0.5870264,0.5684735,0.5884794
130,0.4652594,0.4244162,0.4625056,0.4720018,0.4778969,0.4332545,0.4701982,0.4659909,0.4459603,0.4777616,0.4733573,0.4646748,0.4202822,0.4521842,0.4505739,0.4543214,0.4658004,0.4636344,0.430771,0.4491414,0.4869055,0.4432959,0.4490791,0.4463869,0.4448512,0.3765923,0.4165297,0.4742706,0.4570918,0.4602174,0.4389815
131,0.3955504,0.3638779,0.3989287,0.4044453,0.4002794,0.3887795,0.4246949,0.4370591,0.4323616,0.3946447,0.4006867,0.4013146,0.3896412,0.3836809,0.3815229,0.4100483,0.3829838,0.3745209,0.380877,0.4111556,0.3856,0.3947712,0.4295941,0.4417163,0.3909688,0.3720547,0.4501945,0.4357004,0.400751,0.4341067,0.3884664
132,0.5554743,0.5113465,0.5800385,0.5423689,0.5640306,0.5565014,0.54316,0.5734957,0.561729,0.545355,0.5639656,0.5524527,0.5231893,0.53132,0.5270412,0.5390483,0.5169714,0.5113424,0.5570779,0.5335914,0.5187068,0.5591058,0.5612714,0.5409259,0.5557318,0.4428336,0.564581,0.5533568,0.5669959,0.5094443,0.547242
133,0.6542725,0.6472341,0.6610028,0.657447,0.6599818,0.6584365,0.6760775,0.6662653,0.6646407,0.6716945,0.6667787,0.6434677,0.6604159,0.6630942,0.643402,0.6515986,0.6677966,0.6541608,0.6480051,0.6219925,0.6691287,0.6528174,0.6695026,0.6617723,0.6643369,0.591476,0.6622655,0.6778951,0.634763,0.6592512,0.6720125
134,0.4441919,0.4051977,0.4372477,0.4304575,0.4245517,0.4404675,0.4375587,0.4571027,0.451264,0.4496789,0.4371769,0.422021,0.4352619,0.4353927,0.4110798,0.4767561,0.4251752,0.453862,0.45224,0.423835,0.4536396,0.4868703,0.4440371,0.4468011,0.4529749,0.3777554,0.4790767,0.4584593,0.5225168,0.4425867,0.4238588
135,0.6209674,0.6077574,0.6353967,0.6294572,0.6318477,0.6205512,0.6474726,0.6418625,0.6341414,0.6455128,0.6499301,0.6248354,0.6142497,0.6275718,0.6201953,0.5888082,0.6339245,0.6149351,0.6226816,0.613879,0.6399909,0.6300781,0.6291181,0.6252283,0.6382983,0.5965911,0.630293,0.6288302,0.6335158,0.6256558,0.610612
136,0.6587063,0.6515588,0.6546968,0.662186,0.650645,0.6341168,0.6901853,0.6493958,0.6457929,0.6537794,0.6676887,0.6425026,0.6264772,0.6296123,0.6364523,0.6391947,0.648296,0.6290983,0.6320359,0.637889,0.6434482,0.6292846,0.6508818,0.6365137,0.6488948,0.5969234,0.685057,0.6363196,0.6393948,0.6513262,0.6173777
137,0.6364136,0.6516422,0.6728563,0.6346251,0.6462358,0.6371161,0.6626953,0.6728411,0.6595169,0.6459346,0.6654532,0.643869,0.6693012,0.64521,0.646624,0.6606882,0.6694703,0.6428098,0.6706946,0.6442223,0.6674892,0.6508518,0.6524884,0.647963,0.6538672,0.6268814,0.6595346,0.6794088,0.654217,0.6505765,0.6519074
138,0.627627,0.5407435,0.6251662,0.5786844,0.5670289,0.5901124,0.5355175,0.5973783,0.5406402,0.5759445,0.6021129,0.6083732,0.5778009,0.60308,0.5907324,0.5944356,0.6171895,0.6006709,0.6016616,0.6380998,0.5639763,0.5799279,0.5855508,0.6004312,0.5945453,0.5253857,0.6261839,0.6138736,0.6038107,0.5823588,0.6163071
139,0.5820585,0.6323873,0.5651813,0.654772,0.565527,0.6001887,0.5866492,0.5902308,0.588436,0.6077971,0.5637561,0.5628771,0.6056366,0.5655817,0.576726,0.5558386,0.543355,0.5941319,0.5266069,0.5619217,0.5738672,0.5542634,0.6001984,0.6404259,0.577952,0.4456127,0.5862368,0.5723162,0.5415546,0.5936284,0.5966117
140,0.4101253,0.3817503,0.404538,0.410434,0.4120486,0.3780918,0.4228357,0.4012004,0.3837797,0.4256812,0.422086,0.3821816,0.3929728,0.3776037,0.4292927,0.3629566,0.4157161,0.3988655,0.3838652,0.3957782,0.377362,0.405686,0.4206717,0.4090551,0.4011311,0.3538052,0.3897716,0.3837945,0.408494,0.4046654,0.4192714
141,0.6781355,0.6158363,0.6407715,0.6360254,0.6548474,0.6160799,0.655149,0.6364952,0.6340439,0.6831691,0.6903573,0.6171814,0.6407296,0.6056545,0.664121,0.5642518,0.6789526,0.6704027,0.6517326,0.6090589,0.6504467,0.6528254,0.6709872,0.6571893,0.6587256,0.5659513,0.6416064,0.6013035,0.6257659,0.6572631,0.6729227
142,0.4400512,0.4617205,0.4461856,0.4478056,0.4361818,0.4380162,0.4665773,0.4567465,0.4550388,0.4394515,0.4488555,0.4516947,0.4569737,0.4619192,0.4234897,0.4428543,0.4499418,0.4176907,0.4343511,0.4180208,0.4465892,0.448981,0.4655888,0.4505901,0.4431477,0.4060156,0.4337173,0.4677384,0.4170166,0.4503119,0.441144
143,0.5026981,0.4916841,0.510693,0.5086812,0.5038635,0.4978565,0.5341862,0.5313956,0.5117729,0.5011642,0.5064906,0.4892533,0.5065721,0.4982172,0.4800709,0.5312218,0.5083579,0.509914,0.5082124,0.4978243,0.5184864,0.5238341,0.5244025,0.5312641,0.5130415,0.4445408,0.5126353,0.5163289,0.5440931,0.5076268,0.514605
144,0.732903,0.7257186,0.7535204,0.7386373,0.7403192,0.7274739,0.7538739,0.7551817,0.7385845,0.7395133,0.7464452,0.726046,0.7250929,0.7415934,0.7205633,0.7406878,0.7166457,0.7408627,0.7472832,0.7388693,0.7196292,0.7381108,0.7432066,0.7407395,0.7430223,0.6642998,0.735898,0.7507182,0.7473983,0.7444016,0.7277103
145,0.4299555,0.4203663,0.4610938,0.4542203,0.4452935,0.4200458,0.4758273,0.4526967,0.4433237,0.4545763,0.4543961,0.4317194,0.4127666,0.4225214,0.439243,0.442143,0.4241233,0.3971873,0.4149406,0.4015414,0.4416583,0.4150721,0.4284572,0.4178955,0.4127475,0.3905423,0.4296972,0.4463026,0.3912733,0.4507601,0.4026476
146,0.5977967,0.6075132,0.6061699,0.6199999,0.6237714,0.5988082,0.6157913,0.6319185,0.5875231,0.6103405,0.6199358,0.6064213,0.6166592,0.5781212,0.5978104,0.588236,0.6236596,0.6130803,0.6150433,0.6139905,0.6218856,0.6049718,0.6233962,0.6163108,0.6029823,0.5745739,0.6142383,0.6290233,0.6252853,0.6194349,0.6190449
147,0.4499117,0.4284994,0.4562902,0.4506209,0.4397163,0.4464018,0.4609288,0.4565957,0.4502805,0.4443323,0.4420517,0.4440719,0.4391297,0.4436338,0.43731,0.4475091,0.4539637,0.4498121,0.4440856,0.4428839,0.4475844,0.4446255,0.4454665,0.4318671,0.4439879,0.3795742,0.4420076,0.4622987,0.4371464,0.4554011,0.4391838
148,0.1795198,0.2216076,0.1780152,0.1880841,0.2094007,0.2208292,0.2023653,0.1879952,0.2055536,0.1934433,0.2047901,0.1904869,0.2287049,0.1933257,0.2151241,0.1960209,0.1687431,0.2036988,0.1884442,0.1895867,0.1835533,0.1817894,0.169684,0.1965056,0.1852075,0.3301393,0.1827353,0.1856429,0.1880782,0.1655501,0.183781
